Giocatore,Squadra,Squadra entro i parametri stabiliti,Posizione,Età,Valore di mercato (Transfermarkt),Scadenza contratto,Partite disputate,Minuti giocati,Goal,xG,Assist,xA,Paese di nascita,Passaporto,Piede,Altezza,Peso,In prestito,Azione difensive riuscite/90,Duelli difensivi/90,"Duelli difensivi vinti, %",Duelli aerei/90,"Duelli aerei vinti, %",Contrasti/90,Possesso riconquistato dopo tackle scivolato,Tiri intercettati/90,Palle intercettate/90,Possesso riconquistato dopo intercetto,Falli/90,Cartellini gialli,Cartellini gialli/90,Cartellini rossi,Cartellini rossi/90,Azioni offensive riuscite/90,Goal/90,Goal (esclusi rigori),Goal esclusi rigori/90,xG/90,Goal di testa,Goal di testa/90,Tiri,Tiri/90,"Tiri in porta, %","Realizzazione, %",Assist/90,Cross/90,"Precisione cross, %",Cross dalla fascia sinistra/90,"Cross precisi da sinistra, %",Cross dalla fascia destra/90,"Cross precisi da destra, %",Cross verso l'area piccola/90,Dribbling/90,"Dribbling riusciti, %",Duelli offensivi/90,"Duelli offensivi vinti, %",Tocchi in area/90,Allunghi/90,Accelerazioni/90,Passaggi ricevuti/90,Lanci lunghi ricevuti/90,Falli subiti/90,Passaggi/90,"Precisione passaggi, %",Passaggi in avanti/90,"Precisione passaggi in avanti, %",Retropassaggi/90,"Precisione retropassaggi, %",Passaggi laterali/90,"Precisione passaggi laterali, %",Passaggi corti / medi /90,"Precisione passaggi corti / medi, %",Passaggi lunghi/90,"Precisione lanci lunghi, %","Lunghezza media passaggi, m","Lunghezza media passaggi lunghi, m",xA/90,Assist/90.1,Second assist/90,Third assist/90,Passaggi smarcanti/90,"Precisione passaggi smarcanti, %",Passaggi chiave/90,Passaggi nella trequarti/90,"Precisione passaggi verso la trequarti, %",Passaggi verso l'area di rigore/90,"Precisione passaggi verso l'area di rigore, %",Passaggi filtranti/90,"Precisione passaggi filtranti, %",Attacco in profondità/90,Cross dalla trequarti/90,Passaggi progressivi/90,"Precisione passaggi progressivi, %",Retropassaggi ricevuti dal portiere/90 
R. Celia,Cesena,Cesena,"LB, LWB, LCB",25,400000,2026-06-30,6,193,0,0.0,0,0.02,Italy,Italy,sinistro,180,70,no,4.66,8.86,42.11,1.87,50.0,0.47,0.88,0.0,0.47,0.88,3.73,1,0.47,0,0.0,5.13,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,3.73,37.5,3.73,37.5,0.0,0.0,1.4,5.6,66.67,8.39,50.0,1.4,3.26,0.93,31.24,1.87,0.93,39.17,85.71,10.73,73.91,7.46,100.0,12.59,81.48,34.51,91.89,0.93,50.0,13.31,9.64,0.01,0.47,0.0,0.0,0.0,0.0,0.47,2.33,80.0,2.8,50.0,0.0,0.0,0.47,1.87,7.93,82.35,0.47
L. Ceppitelli,Südtirol,Südtirol,CB,35,350000,2025-06-30,8,763,0,0.32,0,0.04,Italy,Italy,ambidestro,186,80,no,7.9,4.72,75.0,6.13,75.0,0.0,0.0,0.35,4.36,5.78,0.83,2,0.24,0,0.0,0.0,0.0,0,0.0,0.04,0,0.0,3,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,50.0,0.35,0.47,0.0,34.44,0.24,0.71,49.9,91.25,16.4,79.14,1.53,92.31,27.13,97.83,44.94,95.28,4.95,54.76,20.64,41.89,0.01,0.12,0.0,0.0,0.12,0.0,0.0,4.01,58.82,0.94,37.5,0.35,0.0,0.35,0.0,5.66,70.83,1.42
A. Ceresoli,Catanzaro,Catanzaro,LB,21,500000,2027-06-30,4,263,0,0.26,0,0.0,Italy,Italy,sinistro,177,72,si,7.87,6.16,66.67,3.08,22.22,0.0,0.0,0.68,3.76,5.16,0.0,0,0.0,0,0.0,1.71,0.0,0,0.0,0.09,0,0.0,4,1.37,25.0,0.0,0.0,2.4,0.0,2.4,0.0,0.0,0.0,0.68,2.74,50.0,5.82,41.18,2.05,2.74,0.0,20.87,1.37,1.03,29.43,65.12,8.56,68.0,7.19,90.48,7.87,56.52,26.01,71.05,1.03,66.67,17.35,12.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,100.0,1.37,0.0,0.0,0.0,0.0,0.0,4.79,64.29,0.34
M. Cerofolini,Frosinone,Frosinone,GK,25,700000,2026-06-30,11,1082,0,0.0,0,0.0,Italy,Italy,destro,188,80,no,1.25,0.0,0.0,0.33,100.0,0.0,0.0,0.0,1.25,1.65,0.0,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,13.56,0.5,0.25,21.13,81.1,13.31,72.5,0.0,0.0,7.15,96.51,11.56,97.12,9.57,61.74,35.83,50.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58,46.51,0.17,0.0,0.17,0.0,0.0,0.0,6.32,78.95,0.0
L. Cerri,Carrarese,Carrarese,CF,21,800000,2027-06-30,12,430,3,1.18,0,0.63,Italy,Italy,ambidestro,198,93,si,4.4,2.72,53.85,9.21,47.73,0.21,0.32,0.21,2.72,4.11,2.3,2,0.42,0,0.0,2.09,0.63,3,0.63,0.25,1,0.21,12,2.51,66.67,25.0,0.0,0.42,50.0,0.21,0.0,0.21,100.0,0.0,1.05,20.0,4.81,30.43,2.93,0.21,0.0,15.07,5.44,1.05,20.93,68.0,4.6,59.09,6.49,83.87,5.86,60.71,19.47,68.82,1.05,60.0,17.81,13.62,0.13,0.63,0.0,0.0,0.0,0.0,0.42,2.93,50.0,1.26,50.0,0.21,100.0,1.05,0.0,2.51,58.33,0.63
L. Cherubini,Carrarese,Carrarese,"AMF, CF, LWF",20,0,,11,522,1,0.47,0,0.11,Italy,Italy,destro,175,0,si,7.59,6.55,73.68,2.07,25.0,0.34,0.48,0.17,2.41,3.39,1.38,1,0.17,0,0.0,3.45,0.17,1,0.17,0.08,0,0.0,7,1.21,71.43,14.286,0.0,0.69,50.0,0.52,33.33,0.17,100.0,0.17,5.52,40.63,11.72,30.88,1.72,2.41,0.52,20.34,1.55,1.38,25.86,80.67,6.9,77.5,6.03,91.43,8.97,75.0,22.59,83.97,2.59,60.0,18.49,20.96,0.02,0.34,0.17,0.0,0.0,0.0,0.34,4.14,75.0,1.03,83.33,0.17,0.0,0.52,0.17,3.97,78.26,0.34
M. Cicconi,Carrarese,Carrarese,"LWB, LB",27,500000,2027-06-30,12,946,1,0.56,3,1.08,Italy,Italy,sinistro,182,78,no,3.62,3.14,39.39,2.19,43.48,0.19,0.25,0.1,2.19,2.91,0.67,1,0.1,0,0.0,2.09,0.1,1,0.1,0.05,0,0.0,8,0.76,25.0,12.5,0.29,3.81,20.0,3.14,18.18,0.67,28.57,0.38,2.57,44.44,5.33,35.71,2.0,1.33,0.38,20.36,1.43,0.67,29.49,72.9,7.52,63.29,6.56,97.1,9.7,62.75,23.21,84.43,2.57,44.44,20.67,28.89,0.1,0.76,0.0,0.0,0.0,0.0,0.29,3.52,59.46,3.04,31.25,0.38,75.0,0.76,1.05,5.71,61.67,0.38
M. Cichella,Frosinone U19,Frosinone,"DMF, RCMF, LCMF",19,0,,8,636,0,0.01,0,0.01,Italy,Italy,destro,0,0,no,9.48,6.08,67.44,0.57,25.0,0.71,0.9,0.14,4.67,5.96,1.42,1,0.14,1,0.14,0.85,0.0,0,0.0,0.0,0,0.0,1,0.14,0.0,0.0,0.0,0.28,100.0,0.0,0.0,0.28,100.0,0.0,0.57,100.0,2.41,47.06,0.0,0.57,0.14,28.02,0.0,0.71,40.47,89.51,9.62,77.94,4.95,94.29,19.81,95.0,36.79,93.46,3.4,45.83,18.04,30.38,0.0,0.14,0.0,0.0,0.0,0.0,0.0,5.09,86.11,0.71,60.0,0.14,0.0,0.0,0.28,5.09,72.22,0.71
R. Ciervo,Cosenza,Cosenza,"RWB, LWB",22,1300000,2027-06-30,12,803,0,0.71,2,1.56,Italy,Italy,destro,190,88,si,7.4,6.61,52.54,0.22,0.0,0.0,0.0,0.11,3.92,6.18,0.67,1,0.11,0,0.0,5.94,0.0,0,0.0,0.08,0,0.0,14,1.57,50.0,0.0,0.22,3.81,26.47,1.46,23.08,2.35,28.57,0.11,7.51,55.22,11.32,45.54,2.69,4.26,1.79,18.04,1.57,0.78,27.91,73.9,5.83,73.08,6.61,86.44,9.98,70.79,21.07,85.11,3.14,53.57,21.26,35.04,0.17,1.34,0.0,0.11,0.11,0.0,0.56,3.59,71.88,3.03,40.74,0.34,33.33,0.78,1.01,5.94,69.81,1.23
L. Cigarini,Reggiana,Reggiana,"DMF, RCMF, LCMF",38,200000,,6,121,0,0.03,0,0.29,Italy,Italy,destro,175,72,no,11.16,8.18,54.55,0.74,100.0,2.23,3.46,1.49,4.46,6.92,2.98,1,0.74,0,0.0,1.49,0.0,0,0.0,0.02,0,0.0,2,1.49,0.0,0.0,0.0,2.23,66.67,0.0,0.0,2.23,66.67,0.0,0.74,0.0,2.98,0.0,0.0,0.74,0.0,40.17,0.74,0.0,55.04,89.19,19.34,80.77,4.46,100.0,26.03,97.14,42.4,92.98,10.41,78.57,20.85,40.04,0.22,2.98,0.0,0.0,0.0,0.0,0.0,14.88,85.0,3.72,80.0,0.74,0.0,0.74,1.49,11.16,80.0,0.0
A. Ciofi,Cesena,Cesena,"RCB, CB",25,500000,2025-06-30,13,1155,0,0.88,1,0.54,Italy,Italy,destro,187,80,no,7.79,5.77,70.27,5.38,59.42,0.16,0.21,0.39,3.58,4.84,0.78,3,0.23,0,0.0,1.01,0.0,0,0.0,0.07,0,0.0,6,0.47,33.33,0.0,0.08,0.7,66.67,0.08,0.0,0.62,75.0,0.08,0.39,80.0,1.32,70.59,0.78,1.09,0.08,38.49,0.86,0.86,54.62,87.3,22.52,76.82,4.36,94.64,21.43,96.36,48.62,91.83,5.3,48.53,18.76,32.68,0.04,0.55,0.0,0.0,0.23,33.33,0.16,5.3,76.47,1.48,57.89,0.31,0.0,0.55,0.47,8.81,61.95,1.01
A. Cistana,Brescia,Brescia,RCB,27,2000000,2027-06-30,10,979,0,0.08,1,0.6,Italy,Italy,destro,185,78,no,5.98,5.61,55.74,4.32,57.45,0.28,0.36,0.64,2.57,3.4,1.38,2,0.18,0,0.0,0.64,0.0,0,0.0,0.01,0,0.0,2,0.18,0.0,0.0,0.09,0.46,40.0,0.0,0.0,0.37,50.0,0.0,0.55,66.67,1.75,42.11,0.37,1.75,0.09,34.57,0.37,0.46,48.36,89.16,24.09,82.44,3.22,97.14,17.28,96.81,40.08,92.89,7.81,72.94,22.8,37.85,0.06,0.28,0.0,0.0,0.09,100.0,0.18,7.72,75.0,0.74,50.0,0.37,100.0,0.28,0.09,12.59,86.86,2.3
M. Coda,Sampdoria,Sampdoria,CF,36,1000000,2026-06-30,13,1032,4,3.53,2,1.42,Italy,Italy,destro,184,76,no,2.27,1.92,59.09,3.75,32.56,0.09,0.12,0.0,1.05,1.44,1.22,1,0.09,0,0.0,2.53,0.35,4,0.35,0.31,0,0.0,27,2.35,29.63,14.815,0.17,1.13,61.54,0.44,60.0,0.52,66.67,0.09,2.44,42.86,7.24,26.51,2.88,0.61,0.09,14.04,2.53,0.52,20.32,68.67,5.41,51.61,4.1,89.36,7.24,62.65,17.27,72.22,1.92,40.91,15.85,25.74,0.12,1.22,0.09,0.0,0.26,33.33,0.7,2.79,50.0,2.01,56.52,0.44,60.0,1.31,0.7,2.44,82.14,0.0
M. Collocolo,Cremonese,Cremonese,"LCMF, RCMF",25,2500000,2027-06-30,12,1142,3,1.15,0,0.55,Italy,Italy,destro,188,78,no,6.62,5.2,62.12,1.58,65.0,0.0,0.0,0.16,3.39,5.12,1.42,3,0.24,0,0.0,1.58,0.24,3,0.24,0.09,0,0.0,15,1.18,40.0,20.0,0.0,1.42,33.33,0.32,25.0,1.1,35.71,0.24,0.95,58.33,5.44,28.99,1.34,2.84,0.63,28.06,0.95,0.87,38.62,86.94,10.01,73.23,10.48,96.24,11.43,89.66,34.28,91.49,2.99,57.89,18.28,33.43,0.04,0.39,0.0,0.08,0.08,100.0,0.24,4.26,79.63,1.42,55.56,0.08,100.0,0.32,0.47,4.57,79.31,1.5
M. Compagnon,Catanzaro,Catanzaro,"RW, RB, LB",23,500000,2026-06-30,8,450,1,0.79,0,0.0,Italy,Italy,sinistro,183,67,si,4.6,3.8,52.63,0.8,25.0,0.0,0.0,0.2,2.6,3.79,1.4,1,0.2,0,0.0,4.2,0.2,1,0.2,0.16,0,0.0,12,2.4,50.0,8.333,0.0,3.0,20.0,0.4,50.0,2.6,15.38,0.6,4.0,60.0,10.8,38.89,2.8,2.4,0.0,16.8,1.6,0.8,21.0,79.05,3.4,64.71,6.4,96.88,7.2,66.67,17.8,88.76,0.4,50.0,17.8,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,66.67,2.2,36.36,0.2,100.0,0.2,0.8,1.6,87.5,0.0
M. Coppolaro,Carrarese,Carrarese,RCB,27,300000,2026-06-30,13,1067,0,0.01,0,0.06,Italy,Italy,destro,189,80,si,5.74,3.54,59.52,2.53,53.33,0.08,0.11,0.34,3.54,4.7,0.67,2,0.17,0,0.0,0.42,0.0,0,0.0,0.0,0,0.0,3,0.25,0.0,0.0,0.0,1.1,15.38,0.0,0.0,1.01,8.33,0.25,0.34,75.0,1.35,62.5,0.42,0.51,0.17,29.52,1.01,0.59,43.27,86.35,21.17,82.87,4.13,97.96,14.25,89.35,35.34,93.08,6.92,62.2,22.43,38.66,0.01,0.25,0.08,0.0,0.0,0.0,0.0,5.06,70.0,1.35,56.25,0.42,80.0,0.59,0.17,10.21,79.34,1.94
N. Corrado,Brescia,Brescia,"LB, LWB",24,1100000,2027-06-30,13,798,1,0.7,1,1.01,Italy,Italy,sinistro,179,65,no,9.47,6.65,74.58,1.69,60.0,0.34,0.45,0.23,4.17,5.58,0.34,1,0.11,0,0.0,3.27,0.11,1,0.11,0.08,0,0.0,7,0.79,14.29,14.286,0.11,5.53,44.9,5.41,45.83,0.11,0.0,0.56,2.03,33.33,4.96,36.36,0.56,1.24,0.45,19.51,1.02,0.56,31.24,68.59,12.07,61.68,4.51,92.5,10.38,71.74,20.53,82.97,5.3,36.17,23.5,29.41,0.11,1.13,0.23,0.11,0.11,0.0,0.79,5.19,45.65,4.85,48.84,0.34,33.33,0.34,2.37,9.47,72.62,0.23
M. Cotali,Modena,Modena,"LB, LWB",27,750000,2026-06-30,8,482,0,0.05,0,0.1,Italy,Italy,sinistro,177,72,no,7.66,6.54,60.0,1.49,37.5,0.37,0.5,0.0,3.36,4.54,2.61,1,0.19,0,0.0,1.49,0.0,0,0.0,0.01,0,0.0,1,0.19,0.0,0.0,0.0,2.05,27.27,2.05,27.27,0.0,0.0,0.37,0.93,100.0,4.85,69.23,0.75,1.31,0.19,22.97,0.56,2.24,31.0,77.11,13.82,74.32,5.6,93.33,7.1,73.68,23.53,85.71,5.41,58.62,17.99,23.78,0.02,0.19,0.0,0.0,0.0,0.0,0.0,4.29,60.87,2.05,45.45,0.0,0.0,0.0,0.56,7.28,74.36,0.37
M. Coulibaly,Catanzaro,Catanzaro,"RCMF, LCMF",25,1300000,2025-06-30,8,285,0,0.05,0,0.04,Senegal,Senegal,destro,183,74,no,9.79,8.21,61.54,2.53,25.0,0.63,0.88,0.32,4.11,5.74,2.21,2,0.63,0,0.0,1.26,0.0,0,0.0,0.02,0,0.0,3,0.95,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.63,0.0,0.32,3.47,27.27,11.37,38.89,0.95,2.53,0.0,25.26,1.89,1.58,36.63,77.59,12.0,57.89,4.74,93.33,12.0,86.84,33.79,82.24,2.21,28.57,16.81,13.39,0.01,0.32,0.0,0.0,0.32,100.0,0.0,6.63,52.38,0.95,66.67,0.32,0.0,0.95,0.0,7.58,62.5,0.32
V. Crespi,Südtirol,Südtirol,"CF, RW, RWF",20,0,,7,174,0,0.6,0,0.0,Italy,Italy,sinistro,185,76,si,3.62,4.14,37.5,4.66,22.22,0.0,0.0,0.52,2.07,3.64,2.07,1,0.52,0,0.0,1.55,0.0,0,0.0,0.31,0,0.0,8,4.14,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,50.0,6.72,38.46,2.07,0.0,0.0,11.38,2.59,1.03,12.41,75.0,2.07,25.0,3.62,100.0,4.66,66.67,11.9,73.91,0.52,100.0,17.16,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0
M. Curto,Cesena,Cesena,RCB,25,1800000,2027-06-30,7,478,1,0.18,0,0.09,Italy,Italy,destro,191,80,si,11.11,9.23,63.27,2.26,58.33,0.0,0.0,0.75,5.27,6.77,2.07,4,0.75,0,0.0,0.94,0.19,1,0.19,0.03,0,0.0,2,0.38,100.0,50.0,0.0,0.75,25.0,0.0,0.0,0.75,25.0,0.0,0.94,40.0,2.82,40.0,0.56,0.94,0.0,33.7,1.13,1.32,43.68,85.34,19.96,81.13,2.45,69.23,16.19,95.35,38.79,91.26,4.14,40.91,19.69,36.1,0.02,0.38,0.19,0.0,0.0,0.0,0.19,4.14,68.18,0.38,100.0,0.0,0.0,0.19,0.19,7.34,74.36,0.75
M. D'Alessandro,Catanzaro,Catanzaro,"LB, LW, LAMF",33,500000,2026-06-30,9,510,0,0.01,0,0.39,Italy,Italy,destro,173,71,no,7.59,6.0,67.65,0.88,60.0,0.0,0.0,0.0,3.53,5.13,0.71,0,0.0,0,0.0,4.76,0.0,0,0.0,0.0,0,0.0,1,0.18,0.0,0.0,0.0,3.0,23.53,2.82,18.75,0.0,0.0,0.35,5.29,76.67,12.0,50.0,1.59,1.59,1.06,17.12,1.76,2.47,24.18,75.18,5.29,70.0,6.18,94.29,9.18,73.08,20.12,84.21,1.06,50.0,17.52,10.99,0.07,1.24,0.0,0.0,0.0,0.0,0.35,2.65,73.33,2.12,50.0,0.18,0.0,0.71,0.88,2.82,68.75,0.18
F. D'Alessio,Cittadella,Cittadella,"LCMF, RW, RCMF",20,0,,5,161,0,0.02,1,0.31,Italy,Italy,destro,182,0,no,6.71,5.59,40.0,1.68,66.67,0.0,0.0,0.0,4.47,6.32,1.12,0,0.0,0,0.0,2.8,0.0,0,0.0,0.01,0,0.0,1,0.56,100.0,0.0,0.56,2.8,60.0,0.0,0.0,2.8,60.0,0.56,1.12,50.0,3.91,42.86,0.0,2.24,0.0,12.86,0.56,1.12,24.04,74.42,8.39,60.0,3.35,100.0,10.06,72.22,18.45,81.82,2.8,40.0,22.5,33.06,0.17,1.68,0.0,0.0,0.0,0.0,0.56,5.03,44.44,4.47,62.5,0.0,0.0,1.12,1.68,6.15,72.73,0.0
T. D'Orazio,Cosenza,Cosenza,LWB,34,250000,2025-06-30,8,550,2,1.35,0,0.83,Italy,Italy,sinistro,185,78,no,6.87,7.36,48.89,5.07,64.52,0.33,0.48,0.16,2.95,4.35,1.96,1,0.16,0,0.0,2.62,0.33,2,0.33,0.22,0,0.0,12,1.96,16.67,16.667,0.0,3.11,26.32,2.45,20.0,0.49,33.33,0.65,2.29,64.29,5.73,45.71,1.96,0.65,0.33,18.98,2.45,1.31,28.31,74.57,8.84,68.52,4.42,88.89,9.0,80.0,22.75,83.45,2.62,50.0,18.62,24.97,0.14,1.15,0.0,0.0,0.0,0.0,0.33,4.58,67.86,2.62,37.5,0.16,0.0,0.33,0.98,7.53,69.57,0.16
C. Dalle Mura,Cosenza,Cosenza,CB,22,850000,2027-06-30,6,539,0,0.0,0,0.01,Italy,Italy,sinistro,185,70,no,10.52,6.35,71.05,4.01,66.67,0.5,0.7,0.5,5.51,7.67,1.17,1,0.17,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.33,0.0,19.37,0.33,0.5,36.23,87.1,14.86,76.4,4.34,100.0,13.86,91.57,32.23,92.23,4.01,45.83,20.1,36.56,0.0,0.17,0.17,0.0,0.0,0.0,0.0,3.17,47.37,0.33,50.0,0.83,20.0,0.17,0.0,6.35,63.16,3.34
N. Dalmonte,Salernitana,Salernitana,"LWF, RWF",27,300000,2026-06-30,4,108,0,0.0,0,0.09,Italy,Italy,sinistro,169,72,no,7.5,7.5,55.56,3.33,0.0,0.83,1.58,0.0,2.5,4.74,1.67,1,0.83,0,0.0,3.33,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,4.17,0.0,2.5,0.0,1.67,0.0,0.83,7.5,44.44,13.33,37.5,5.0,0.83,0.0,15.83,1.67,2.5,28.33,73.53,4.17,60.0,8.33,100.0,9.17,72.73,23.33,85.71,0.83,100.0,14.5,4.78,0.07,1.67,0.0,0.0,0.83,0.0,0.83,0.83,100.0,4.17,20.0,1.67,50.0,4.17,0.0,1.67,50.0,0.0
E. Darboe,Frosinone,Frosinone,"DMF, LCMF, RCMF",23,1500000,2026-06-30,11,735,0,0.54,1,0.49,Gambia,Gambia,destro,179,69,si,9.18,7.96,47.69,1.71,35.71,0.73,1.01,0.12,4.65,6.4,2.45,4,0.49,1,0.12,1.1,0.0,0,0.0,0.07,0,0.0,8,0.98,25.0,0.0,0.12,0.24,0.0,0.0,0.0,0.24,0.0,0.0,1.1,77.78,6.61,46.3,0.24,1.22,0.12,29.88,0.24,2.82,43.96,85.52,12.37,74.26,6.49,98.11,19.71,88.82,38.57,91.11,5.14,47.62,22.47,39.61,0.06,0.61,0.0,0.0,0.0,0.0,0.12,8.82,65.28,2.33,63.16,0.98,12.5,1.47,0.0,6.98,92.98,1.22
S. Davì,Südtirol,Südtirol,"LB, LWB",25,750000,2027-06-30,9,679,0,0.67,0,0.46,Italy,Italy,sinistro,178,73,no,5.83,6.36,58.33,2.12,37.5,0.13,0.17,0.0,1.99,2.6,1.72,1,0.13,0,0.0,4.11,0.0,0,0.0,0.09,0,0.0,5,0.66,0.0,0.0,0.0,4.24,37.5,4.24,37.5,0.0,0.0,0.8,3.58,70.37,7.16,53.7,1.06,1.59,0.13,21.61,1.99,0.8,29.03,72.15,7.95,50.0,6.49,95.92,9.15,75.36,21.08,86.16,3.98,36.67,19.63,26.77,0.06,0.66,0.0,0.0,0.0,0.0,0.4,3.45,76.92,4.37,39.39,0.4,33.33,0.4,1.33,6.1,67.39,0.53
M. De Luca,Cremonese,Cremonese,CF,26,1500000,2028-06-30,12,536,0,2.24,0,0.26,Italy,Italy,destro,192,82,no,4.2,3.86,60.87,5.88,37.14,0.0,0.0,0.17,1.85,3.0,2.01,2,0.34,0,0.0,0.84,0.0,0,0.0,0.38,0,0.0,13,2.18,23.08,0.0,0.0,0.5,33.33,0.34,0.0,0.17,100.0,0.0,0.67,25.0,5.54,30.3,4.2,0.17,0.0,11.75,2.35,1.85,15.28,73.63,3.02,61.11,4.37,84.62,4.53,77.78,14.61,74.71,0.17,100.0,11.51,2.4,0.04,0.84,0.0,0.0,0.17,0.0,0.17,1.18,71.43,1.18,14.29,0.0,0.0,0.34,0.0,1.34,50.0,0.0
A. Debenedetti,Mantova,Mantova,"CF, AMF",21,0,,8,345,1,2.69,0,0.0,Italy,Italy,destro,0,0,si,4.96,4.17,43.75,2.09,37.5,1.04,2.4,0.0,2.09,4.8,1.3,0,0.0,0,0.0,2.09,0.26,1,0.26,0.7,0,0.0,9,2.35,33.33,11.111,0.0,0.26,0.0,0.0,0.0,0.26,0.0,0.0,1.83,71.43,13.83,33.96,3.39,0.52,0.0,13.83,0.26,3.91,22.43,84.88,1.83,71.43,6.26,91.67,7.57,89.66,20.61,87.34,1.57,66.67,16.74,21.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,83.33,0.52,50.0,0.0,0.0,0.26,0.0,2.09,62.5,0.0
G. Defrel,Modena,Modena,"RWF, CF, AMF",33,1000000,2026-06-30,8,433,1,0.81,0,0.2,France,"France, Martinique",sinistro,179,79,no,2.49,3.74,44.44,4.78,21.74,0.21,0.26,0.0,0.62,0.78,1.66,1,0.21,0,0.0,0.83,0.21,1,0.21,0.17,1,0.21,9,1.87,11.11,11.111,0.0,0.21,0.0,0.21,0.0,0.0,0.0,0.0,1.66,37.5,13.09,26.98,3.33,0.62,0.42,13.51,1.87,1.66,24.11,86.21,3.33,68.75,8.31,97.5,5.4,88.46,22.86,89.09,1.04,40.0,12.68,12.39,0.04,1.25,0.0,0.0,0.0,0.0,0.21,1.25,66.67,0.83,75.0,0.0,0.0,1.25,0.0,1.04,20.0,0.0
D. Degli Innocenti,Spezia,Spezia,LCMF,21,600000,2026-06-30,5,138,0,0.02,0,0.31,Italy,Italy,destro,180,75,si,5.87,5.22,50.0,1.96,66.67,1.3,1.88,0.0,1.96,2.81,2.61,1,0.65,0,0.0,2.61,0.0,0,0.0,0.01,0,0.0,1,0.65,0.0,0.0,0.0,1.96,100.0,1.3,100.0,0.65,100.0,0.0,2.61,25.0,7.83,16.67,1.3,1.96,0.0,16.96,1.3,1.3,25.43,87.18,7.83,83.33,5.22,100.0,5.22,87.5,20.22,90.32,3.26,60.0,13.55,7.94,0.2,1.3,0.0,0.0,0.0,0.0,0.65,1.96,66.67,1.96,100.0,0.0,0.0,0.65,1.3,3.91,100.0,0.65
A. Dellavalle,Modena,Modena,"RB, RCB, LWB",20,800000,2028-06-30,8,639,1,0.55,0,0.06,Italy,Italy,destro,0,0,si,11.27,9.86,62.86,3.66,69.23,0.42,0.49,0.28,4.65,5.41,0.85,2,0.28,0,0.0,2.11,0.14,1,0.14,0.08,1,0.14,5,0.7,40.0,20.0,0.0,2.96,19.05,0.28,0.0,2.68,21.05,0.85,1.55,81.82,3.52,60.0,1.13,1.69,0.56,22.39,2.54,1.13,33.24,74.15,14.79,65.71,6.06,100.0,7.75,78.18,21.97,86.54,8.31,61.02,23.9,34.34,0.01,0.14,0.0,0.0,0.14,0.0,0.0,5.07,58.33,2.54,33.33,0.14,0.0,0.14,0.7,7.18,68.63,0.99
F. Depaoli,Sampdoria,Sampdoria,"RWB, RB",27,3000000,2028-06-30,13,734,0,0.87,0,0.51,Italy,Italy,destro,182,71,no,7.85,9.44,54.55,3.8,32.26,0.37,0.54,0.25,2.33,3.39,3.07,2,0.25,0,0.0,2.7,0.0,0,0.0,0.11,0,0.0,10,1.23,30.0,0.0,0.0,3.07,36.0,0.0,0.0,3.07,36.0,0.25,3.19,38.46,6.01,36.73,2.08,0.98,0.25,15.69,2.08,1.23,21.34,68.39,7.72,60.32,2.57,100.0,7.97,72.31,15.82,78.29,2.57,42.86,22.15,27.2,0.06,0.49,0.12,0.12,0.0,0.0,0.25,3.31,66.67,2.7,31.82,0.12,0.0,0.12,0.98,7.11,74.14,0.37
J. Desogus,Cittadella,Cittadella,"CF, AMF, LCMF",22,200000,2026-06-30,10,527,0,0.87,0,0.1,Italy,Italy,destro,174,68,no,4.78,4.61,55.56,3.93,21.74,0.34,0.45,0.0,1.88,2.46,2.05,3,0.51,0,0.0,3.93,0.0,0,0.0,0.15,0,0.0,12,2.05,16.67,0.0,0.0,2.9,35.29,1.88,27.27,1.02,50.0,0.34,5.64,42.42,13.32,39.74,3.24,2.9,0.51,14.69,1.54,2.22,21.01,72.36,3.93,69.57,6.32,83.78,6.15,72.22,18.1,78.3,0.0,0.0,14.18,0.0,0.02,0.51,0.0,0.0,0.34,50.0,0.51,1.54,77.78,2.73,56.25,0.34,50.0,0.68,1.02,2.22,84.62,0.0
